,2004_IDH,2004_Suicídios,2004_iUsers
Afghanistan,0.396,6.68438529968262,0.097163516373096
Albania,0.685,7.69932985305786,2.42038779776014
Algeria,0.68,4.8487696647644,4.63447508776537
Angola,0.426,14.5546770095825,0.464814617985909
Argentina,0.78,8.045732,16.0366841054923
Armenia,0.679,3.74158787727356,4.8990085713054
Austria,0.848,13.6443,54.370247849783
Bahamas,0.786,3.3744158744812,22.0
Bahrain,0.806,4.41499042510986,21.4586805077435
Bangladesh,0.499,14.5383567810059,0.199036333744363
Barbados,0.761,3.10860252380371,49.8
Belgium,0.861,15.95385,53.5284818710281
Belize,0.695,9.38879585266113,5.63483569804286
Benin,0.43,6.05773973464966,1.18254096518994
Bolivia,0.622,2.0341784954071,4.43992460120042
Botswana,0.593,11.2139701843262,3.30488925316113
Brazil,0.694,4.544517,19.073672274442
Brunei,0.834,1.37000155448914,29.7156041447864
Bulgaria,0.745,9.517831,18.1486841616566
Burundi,0.286,14.6809358596802,0.349060461879596
Cambodia,0.47,4.96107149124146,0.300436644360101
Cameroon,0.456,7.21422052383423,0.976075415490902
Canada,0.886,10.10099,65.8500154498253
Cape Verde,0.582,5.63333368301392,5.31883206957883
Chad,0.306,8.28307056427002,0.360920107034467
Chile,0.79,10.68438,28.1779101232438
China,0.634,16.9132480621338,7.32521696522192
Colombia,0.658,5.359842,9.1186903029666
Comoros,0.434,4.7510838508606,1.32732717785355
"Congo, Dem. Rep.",0.355,14.713020324707,0.196208375178039
"Congo, Rep.",0.496,9.87376117706299,1.07750492958505
Costa Rica,0.723,8.127507,20.7923067055542
Cote d'Ivoire,0.406,20.3179302215576,0.849282414747704
Croatia,0.777,14.6266,30.9832676323496
Cuba,0.719,11.55148,8.40798475900703
Cyprus,0.826,0.6143094,33.83
Denmark,0.897,10.06166,80.8664632197883
Djibouti,0.396,4.99347591400146,0.781317175068661
Dominica,0.703,5.83525085449219,30.3196130921568
Ecuador,0.688,8.50468444824219,4.83444263759525
Egypt,0.629,1.79990363121033,5.1506662320737
El Salvador,0.644,8.42265892028809,3.2
Equatorial Guinea,0.563,10.1293497085571,0.843930284607049
Estonia,0.812,20.65888,53.1668409311564
Ethiopia,0.325,10.0719423294067,0.155334520794722
Fiji,0.699,3.94025897979736,7.4129434854202
Finland,0.864,18.126,72.3608538758862
France,0.86,14.49824,37.8355608024839
Gabon,0.64,7.7450647354126,2.97906980035019
Gambia,0.412,6.44915676116943,3.30800347812937
Georgia,0.703,1.57435011863708,4.06738606230239
Germany,0.884,9.719625,64.7363407210894
Ghana,0.499,6.28855466842651,1.71679770389504
Greece,0.839,2.52179,21.5856793290652
Guatemala,0.567,2.441434,5.1
Guinea,0.346,7.44382619857788,0.508819332302937
Haiti,0.452,1.51924800872803,5.401261907622
Honduras,0.577,7.06018447875976,5.6
Hungary,0.795,21.30929,27.7489116927766
Iceland,0.879,11.4261808395386,84.1470843690298
India,0.526,18.5838260650635,1.97613649190559
Indonesia,0.629,11.3961114883423,2.60028587633414
Iran,0.687,6.02188205718994,7.49
Iraq,0.628,17.0326461791992,0.890325617183413
Ireland,0.889,10.90351,37.1300803830319
Israel,0.866,6.088309,21.6409437023748
Italy,0.851,5.31370162963867,33.2905508140825
Jamaica,0.706,4.41750717163086,10.1015768924605
Japan,0.87,18.53678,61.6801429995892
Jordan,0.73,0.20144872367382,11.4832409483155
Kazakhstan,0.737,28.99517,2.65754594597844
Kenya,0.474,10.9377183914185,3.02352804209621
Kuwait,0.789,1.50878918170929,22.9271120360078
Latvia,0.791,20.02737,38.6869248393411
Lesotho,0.437,7.85861921310425,2.17552433931097
Liberia,0.372,7.18485260009766,0.031011184804023
Libya,0.748,4.66702461242676,3.53283816154549
Lithuania,0.798,35.41642,31.1979027189208
Luxembourg,0.874,12.4059181213379,64.8435399644179
Madagascar,0.473,5.76740646362305,0.525353654946669
Malawi,0.371,10.1717348098755,0.347505334967577
Malaysia,0.734,8.21106719970703,42.2522656295248
Maldives,0.625,22.353479385376,6.58825487530861
Mali,0.338,8.2628927230835,0.432819639900985
Malta,0.805,4.5511212348938,35.1303255181076
Mauritania,0.461,6.88295221328735,0.481470438230954
Mauritius,0.704,7.767069,13.8254149901092
Mexico,0.719,4.157453,14.1
"Micronesia, Fed. Sts.",0.617,4.76226997375488,11.0178673081514
Moldova,0.64,15.15584,11.2899706207473
Morocco,0.569,2.10941362380981,11.6079347729582
Mozambique,0.341,10.5503749847412,0.679447835392438
Myanmar,0.465,10.1149969100952,0.024337392002823
Namibia,0.565,8.02196979522705,3.8047156152631
Nepal,0.469,11.6552095413208,0.449843651215974
Netherlands,0.888,7.801102,68.2814350520296
New Zealand,0.886,11.81556,61.7209820259936
Nicaragua,0.592,12.1222686767578,2.32066460863941
Niger,0.278,9.2579755783081,0.189933733703092
Nigeria,0.463,7.63104963302612,1.28613764134527
Norway,0.929,10.72357,77.6077065404156
Oman,0.742,3.71673941612244,6.75885217024525
Pakistan,0.487,12.8698148727417,6.16432098534156
Palau,0.756,5.55427646636963,26.9703326341025
Panama,0.74,6.195792,11.1408625409415
Papua New Guinea,0.446,11.9569406509399,1.5079127722725
Paraguay,0.646,4.474054,3.45243843137079
Peru,0.692,1.65890777111053,14.1
Philippines,0.642,1.92248511314392,5.2436284521711
Poland,0.797,13.81242,32.5239612566288
Portugal,0.79,8.18837547302246,31.7929607816438
Qatar,0.83,2.5157208442688,20.701647851169
Romania,0.745,10.63957,15.1109348491046
Russia,0.748,29.86262,12.9002787311304
Rwanda,0.388,13.1179485321045,0.43085424337006
Samoa,0.671,5.54232358932495,3.07552941044897
Sao Tome and Principe,0.514,10.4931497573853,13.3228526892178
Saudi Arabia,0.761,6.40153789520264,10.2345329969583
Senegal,0.415,6.81143856048584,4.38602398008563
Serbia,0.73,12.97721,31.1589653011454
Seychelles,0.712,9.50792789459228,24.3106804400024
Sierra Leone,0.341,11.9804973602295,0.203007680592588
Singapore,0.821,8.683154,61.9026558187534
Slovak Republic,0.784,10.75127,53.173992846736
Slovenia,0.853,20.05259,40.8293524475566
Solomon Islands,0.465,4.4847526550293,0.64967267325146
South Africa,0.609,15.7145709991455,8.52656706986047
Spain,0.837,6.247683,44.0516506367317
Sri Lanka,0.712,28.1040458679199,1.45922668878639
Sudan,0.423,9.70955562591553,0.791561615446386
Suriname,0.672,20.7474308013916,6.0760478144456
Swaziland,0.495,12.8722219467163,3.48095995522269
Sweden,0.89,10.68662,83.7448032202257
Switzerland,0.899,13.09476,67.5394843175398
Syria,0.624,0.52352756261826,4.32159377785571
Tajikistan,0.572,2.64898085594177,0.077479907135682
Tanzania,0.432,12.4111814498901,0.87757497099259
Thailand,0.682,9.84745979309082,10.6773033237281
Togo,0.435,6.3698878288269,1.5
Tonga,0.694,4.52785158157349,3.95237389457043
Trinidad and Tobago,0.745,14.5471668243408,27.0242700782714
Tunisia,0.683,3.1468141078949,8.42715699869281
Turkey,0.681,3.56332468986511,14.58
Uganda,0.429,12.2891216278076,0.719970679914031
Ukraine,0.707,20.04554,3.47650952141552
United Arab Emirates,0.818,1.39295065402985,30.1312961695367
United Kingdom,0.886,6.271399,65.6362164417218
United States,0.895,10.02633,65.0364425615335
Uruguay,0.753,14.53727,17.1645705179726
Uzbekistan,0.62,5.342295,2.57806021943565
Venezuela,0.7,4.333949,8.42795012417732
Vietnam,0.609,11.6533222198486,7.71985729218874
Zambia,0.467,12.0190362930298,2.01354953218533
Zimbabwe,0.406,13.9052667617798,6.5640450271075
